IATA,City,Latitude,Longitude
BIX,Biloxi,30.410425,-88.924433
BIY,Bisho,-32.89715,27.279111
BJA,Bejaja,36.711997,5.069922
BJB,Bojnourd,37.492958,57.308219
BJC,Broomfield-CO,39.90888888,-105.1172222
BJF,Batsfjord,70.600278,29.6925
BJH,Bajhang,29.53896,81.185364
BJI,Bemidji,47.510722,-94.934722
BJL,Banjul,13.337961,-16.652206
BJM,Bujumbura,-3.324019,29.318519
BJO,Bermejo,-22.773336,-64.312881
BJP,Braganca Paulista,-22.979167,-46.5375
BJR,Bahar Dar,11.608075,37.321644
BJS,Beijing,39.904167,116.407222
BJT,Bentota,6.416667,79.983333
BJU,Bajura,29.50611,81.66944
BJV,Bodrum,37.249,27.667
BJX,Del Bajio,20.993464,-101.480847
BJZ,Badajoz,38.89125,-6.821333
BKA,Moscow,55.617222,38.059999
BKC,Buckland,65.981667,-161.149167
BKD,Breckenridge,32.719047,-98.891
BKF,Buckley,39.701668,-104.75166
BKG,Branson,36.531994,-93.200556
BKH,Barking Sands,22.022833,-159.785
BKI,Kota Kinabalu,5.937208,116.051181
BKK,Bangkok,13.681108,100.747283
BKL,Cleveland,41.5175,-81.683333
BKM,Bakalalan,3.974,115.618
BKN,Balkanabat,39.481389,54.362778
BKO,Bamako,12.533544,-7.949944
BKQ,Blackall,-24.427778,145.428611
BKS,Bengkulu,-3.8637,102.339036
BKW,Beckley,37.7873,-81.1242
BKX,Brookings,44.3048,-96.8169
BKY,Bukavu/kavumu,-2.308978,28.808803
BKZ,Bukoba,-1.3,31.8
BLA,Barcelona,10.107139,-64.689161
BLD,Boulder City,35.5651,-114.514
BLE,Borlange,60.422017,15.515211
BLF,Bluefield,37.2958,-81.2077
BLG,Belaga,2.65,113.767
BLH,Blythe,33.619167,-114.716889
BLI,Bellingham,48.792694,-122.537528
BLJ,Batna,35.752106,6.308589
BLK,Blackpool,53.771667,-3.028611
BLL,Billund,55.740322,9.151778
BLQ,Bologna,44.535444,11.288667
BLR,Bangalore,12.949986,77.668206
BLT,Blackwater,-23.6031,148.807
BLV,Belleville,38.545178,-89.835183
BLZ,Blantyre,-15.679053,34.974014
BMA,Stockholm,59.354372,17.94165
BMC,Brigham City,41.552,-112.062
BMD,Belo sur Tsiribihina,-19.6867,44.5419
BME,Broome,-17.8,122.2
BMG,Bloomington,39.1460208,-86.6166805
BMI,Bloomington,40.477111,-88.915917
BMK,Borkum,53.5955,6.709167
BMM,Bitam,2.075639,11.493195
BMO,Banmaw,24.269033,97.246153
BMP,Brampton Island,-20.8044444,149.2794444
BMQ,Bamburi,-3.982688889,39.73089722
BMT,Beaumont,30.0702044,-94.2150967
BMU,Bima,-8.539647,118.687322
BMV,Buonmethuot,12.668311,108.120272
BMW,Bordj Badji Mokhtar,21.375,0.923889
BMX,Big Mountain,59.361247,-155.258822
BMY,Waala,-19.7206,163.661
BN1,Bellona,15.98166667,-11.3
BNA,Nashville,36.124472,-86.678194
BND,Bandar Abbas,27.218317,56.37785
BNE,Brisbane,-27.384167,153.1175
BNI,Benin,6.316981,5.599503
BNJ,Bonn,50.731944,7.096944
BNK,Ballina Byron Bay,-28.833889,153.5625
BNN,Bronnoysund,65.461111,12.2175
BNP,Bannu,32.9729,70.5279
BNS,Barinas,8.619575,-70.220825
BNU,BLUMENAU,-26.834239,-49.091696
BNX,Banja Luka,44.941444,17.297501
BNY,Bellona,-11.302,159.8
BOA,Boma,-5.854,13.064
BOB,Bora Bora,-16.444378,-151.751286
BOC,Bocas Del Toro,9.340853,-82.250842
BOD,Bordeaux,44.828335,-0.715556
BOG,Bogota,4.701594,-74.146947
BOH,Bournemouth,50.78,-1.8425
BOI,Boise,43.564361,-116.222861
BOJ,Bourgas,42.569583,27.515236
BOM,Mumbai,19.088686,72.867919
BON,Kralendijk,12.131044,-68.268511
BOO,Bodo,67.269167,14.365278
BOR,Belfort,47.6556015,7.0108299
BOS,Boston,42.364347,-71.005181
BOT,Bosset,-7.240833,141.092333
BOU,Bourges,47.058056,2.370278
BOW,Bartow,27.9434,-81.7834
BOX,Bochum,51.478506,7.2222
BOY,Bobo-dioulasso,11.160056,-4.330969
BPC,Bamenda,6.039239,10.122639
BPE,Bagan,21.17383327,94.9246666
BPF,Batuna,-8.63,158
BPM,Kabul,34.5646,69.1554
BPN,Balikpapan,-1.268272,116.894478
BPR,Borongan,11.674167,125.478611
BPS,Porto Seguro,-16.438611,-39.080833
BPT,Beaumont,29.950833,-94.020694
BPU,Beppu,33.3,131.5333
BPX,Bangda,30.5536,97.1083
BPY,Besalampy,-16.741945,44.481388
BQB,Brusselton,-33.687222,115.400278
BQH,Biggin Hill,51.330833,0.0325
